bank_txn_id,date,description,reference,amount
B-2026-001,21-07-2026,NEFT/Verma Solutions/PAYMENT,UTR42868828,6455.22
B-2026-002,24-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR89254563,6022.26
B-2026-003,01-07-2026,NEFT/Mehta & Co/PAYMENT,UTR77827638,5591.07
B-2026-004,07-07-2026,NEFT/Kapur Industries/PAYMENT,UTR39587039,36084.96
B-2026-005,09-07-2026,NEFT/Rahul Traders/PAYMENT,UTR31429110,40662.09
B-2026-006,09-07-2026,NEFT/Singh Corp/PAYMENT,UTR23718431,8618.5
B-2026-007,04-07-2026,NEFT/Singh Corp/PAYMENT,UTR91030736,18589.99
B-2026-008,24-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR60806024,23511.82
B-2026-009,10-07-2026,NEFT/Singh Corp/PAYMENT,UTR87490893,41640.83
B-2026-010,02-07-2026,NEFT/Verma Solutions/PAYMENT,UTR20709497,33401.9
B-2026-011,13-07-2026,NEFT/Singh Corp/PAYMENT,UTR31831063,14620.71
B-2026-012,07-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR91756179,33838.58
B-2026-013,24-07-2026,NEFT/Reddy Tech/PAYMENT,UTR60929647,12995.74
B-2026-014,08-07-2026,NEFT/Rahul Traders/PAYMENT,UTR40742311,34546.1
B-2026-015,13-07-2026,NEFT/Mehta & Co/PAYMENT,UTR86125617,14119.3
B-2026-016,21-07-2026,NEFT/Reddy Tech/PAYMENT,UTR29175900,25462.33
B-2026-017,08-07-2026,NEFT/Verma Solutions/PAYMENT,UTR88461803,37504.46
B-2026-018,13-07-2026,NEFT/Gupta Logistics/PAYMENT,UTR78387461,18737.83
B-2026-019,25-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR30514014,3308.7
B-2026-020,20-07-2026,NEFT/Kapur Industries/PAYMENT,UTR89978790,4112.86
B-2026-021,09-07-2026,NEFT/Rahul Traders/PAYMENT,UTR25374874,48582.84
B-2026-022,25-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR49392920,32407.13
B-2026-023,15-07-2026,NEFT/Verma Solutions/PAYMENT,UTR77187530,1159.02
B-2026-024,30-07-2026,NEFT/Verma Solutions/PAYMENT,UTR95758349,6214.13
B-2026-025,07-07-2026,NEFT/Gupta Logistics/PAYMENT,UTR82394227,8489.12
B-2026-026,20-07-2026,NEFT/Rahul Traders/PAYMENT,UTR25014631,16883.65
B-2026-027,08-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR21496211,3838.33
B-2026-028,25-07-2026,NEFT/Gupta Logistics/PAYMENT,UTR27232410,27102.6
B-2026-029,06-07-2026,NEFT/Kapur Industries/PAYMENT,UTR38427073,13987.77
B-2026-030,23-07-2026,NEFT/Singh Corp/PAYMENT,UTR68800797,16274.1
B-2026-031,04-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR55377076,13147.38
B-2026-032,18-07-2026,NEFT/Mehta & Co/PAYMENT,UTR10965138,12275.62
B-2026-033,08-07-2026,NEFT/Rahul Traders/PAYMENT,UTR54349361,4302.62
B-2026-034,08-07-2026,NEFT/Reddy Tech/PAYMENT,UTR38754377,14645.39
B-2026-035,24-07-2026,NEFT/Reddy Tech/PAYMENT,UTR42614537,46840.2
B-2026-036,07-07-2026,NEFT/Kapur Industries/PAYMENT,UTR57553014,5621.96
B-2026-037,15-07-2026,NEFT/Rahul Traders/PAYMENT,UTR97705310,43328.0
B-2026-038,13-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR43374088,36682.47
B-2026-039,18-07-2026,NEFT/Kapur Industries/PAYMENT,UTR34627347,22982.06
B-2026-040,08-07-2026,NEFT/Sharma Enterprises/PAYMENT,UTR69476001,43849.81
B-2026-041,21-07-2026,NEFT/Rahul Traders/PAYMENT,UTR22517517,49964.84
