gl_entry_id,date,description,amount,reference
GL-2026-001,21-07-2026,Received from Verma Solutions,6455.22,UTR42868828
GL-2026-002,24-07-2026,Received from Sharma Enterprises,6022.26,UTR89254563
GL-2026-003,01-07-2026,Received from Mehta & Co,5591.07,UTR77827638
GL-2026-004,07-07-2026,Received from Kapur Industries,36084.96,UTR39587039
GL-2026-005,09-07-2026,Received from Rahul Traders,40662.09,UTR31429110
GL-2026-006,09-07-2026,Received from Singh Corp,8618.5,UTR23718431
GL-2026-007,04-07-2026,Received from Singh Corp,18589.99,UTR91030736
GL-2026-008,24-07-2026,Received from Sharma Enterprises,23511.82,UTR60806024
GL-2026-009,10-07-2026,Received from Singh Corp,41640.83,UTR87490893
GL-2026-010,02-07-2026,Received from Verma Solutions,33401.9,UTR20709497
GL-2026-011,13-07-2026,Received from Singh Corp,14620.71,UTR31831063
GL-2026-012,07-07-2026,Received from Sharma Enterprises,33838.58,UTR91756179
GL-2026-013,24-07-2026,Received from Reddy Tech,12995.74,UTR60929647
GL-2026-014,08-07-2026,Received from Rahul Traders,34546.1,UTR40742311
GL-2026-015,13-07-2026,Received from Mehta & Co,14119.3,UTR86125617
GL-2026-016,21-07-2026,Received from Reddy Tech,25462.33,UTR29175900
GL-2026-017,08-07-2026,Received from Verma Solutions,37504.46,UTR88461803
GL-2026-018,13-07-2026,Received from Gupta Logistics,18737.83,UTR78387461
GL-2026-019,25-07-2026,Received from Sharma Enterprises,3308.7,UTR30514014
GL-2026-020,20-07-2026,Received from Kapur Industries,4112.86,UTR89978790
GL-2026-021,09-07-2026,Received from Rahul Traders,48582.84,UTR25374874
GL-2026-022,25-07-2026,Received from Sharma Enterprises,32407.13,UTR49392920
GL-2026-023,15-07-2026,Received from Verma Solutions,1159.02,UTR77187530
GL-2026-024,30-07-2026,Received from Verma Solutions,6214.13,UTR95758349
GL-2026-025,07-07-2026,Received from Gupta Logistics,8489.12,UTR82394227
GL-2026-026,20-07-2026,Received from Rahul Traders,16883.65,UTR25014631
GL-2026-027,08-07-2026,Received from Sharma Enterprises,3838.33,UTR21496211
GL-2026-028,25-07-2026,Received from Gupta Logistics,27102.6,UTR27232410
GL-2026-029,06-07-2026,Received from Kapur Industries,13987.77,UTR38427073
GL-2026-030,23-07-2026,Received from Singh Corp,16274.1,UTR68800797
GL-2026-031,04-07-2026,Received from Sharma Enterprises,13147.38,UTR55377076
GL-2026-032,18-07-2026,Received from Mehta & Co,12275.62,UTR10965138
GL-2026-033,08-07-2026,Received from Rahul Traders,4302.62,UTR54349361
GL-2026-034,08-07-2026,Received from Reddy Tech,14645.39,UTR38754377
GL-2026-035,24-07-2026,Received from Reddy Tech,46840.2,UTR42614537
GL-2026-036,07-07-2026,Received from Kapur Industries,5621.96,UTR57553014
GL-2026-037,15-07-2026,Received from Rahul Traders,43328.0,UTR97705310
GL-2026-038,13-07-2026,Received from Sharma Enterprises,36682.47,UTR43374088
GL-2026-039,18-07-2026,Received from Kapur Industries,22982.06,UTR34627347
GL-2026-040,08-07-2026,Received from Sharma Enterprises,43849.81,UTR69476001
GL-2026-041,21-07-2026,Received from Rahul Traders,49964.84,UTR22517517
GL-2026-042,14-07-2026,Received from Mehta & Co,24796.42,UTR63826716
GL-2026-043,13-07-2026,Received from Kapur Industries,1105.61,UTR45594951
GL-2026-044,14-07-2026,Received from Reddy Tech,35132.98,UTR30776478
GL-2026-045,07-07-2026,Received from Rahul Traders,48466.76,UTR52091325
GL-2026-046,23-07-2026,Payment Gupta Logistics,12542.76,
GL-2026-047,30-07-2026,Payment Sharma Enterprises,6027.82,
GL-2026-048,02-08-2026,Payment Rahul Traders,13683.79,
GL-2026-049,25-07-2026,Payment Mehta & Co,19020.59,
GL-2026-050,13-07-2026,Payment Verma Solutions,6963.17,
GL-2026-051,05-07-2026,Payment Sharma Enterprises,14317.39,
GL-2026-052,20-07-2026,Payment Singh Corp,6986.85,
GL-2026-053,12-07-2026,Payment Verma Solutions,11572.77,
GL-2026-054,25-07-2026,Payment Sharma Enterprises,18976.34,
GL-2026-055,30-07-2026,Payment Gupta Logistics,16136.25,
GL-2026-056,07-07-2026,Recv Mehta & Co,21917.02,
GL-2026-057,16-07-2026,Recv Rahul Traders,13520.19,
GL-2026-058,02-07-2026,Recv Gupta Logistics,9063.82,
GL-2026-059,24-07-2026,Recv Kapur Industries,16953.04,
GL-2026-060,03-07-2026,Recv Gupta Logistics,28842.02,
GL-2026-061,19-07-2026,Recv Kapur Industries,5315.15,RTGS27105448
GL-2026-062,29-07-2026,Recv Rahul Traders,7598.53,RTGS58024342
GL-2026-063,12-07-2026,Recv Kapur Industries,6680.7,RTGS93303777
GL-2026-064,26-07-2026,Recv Kapur Industries,6864.63,RTGS13326769
GL-2026-065,26-07-2026,Recv Mehta & Co,3679.63,
GL-2026-066,08-07-2026,Recv Reddy Tech,1798.29,
GL-2026-067,13-07-2026,Recv Sharma Enterprises,8282.62,UTR47463522
GL-2026-068,13-07-2026,Recv Singh Corp,11795.18,UTR13704481
GL-2026-069,06-07-2026,Recv Verma Solutions,10805.9,UTR15134794
GL-2026-070,14-07-2026,Recv Singh Corp,8456.87,UTR68571795
GL-2026-071,13-07-2026,Recv,12000.0,
GL-2026-072,02-07-2026,Recv,8500.0,
GL-2026-073,30-07-2026,Recv,9000.0,
GL-2026-074,14-07-2026,Recv,7000.0,
